FIGF,LYVE1,CD300LG,SCARA5,PAMR1,SDPR,MYOM1,BTNL9,KCNIP2,SLC2A4,PDE2A,LEP,ACVR1C,ABCA10,AQP7,GPR146,ATP1A2,FXYD1,ARHGAP20,NPR1,ATOH8,ABCA9,ALDH1L1,ADAMTS5,RDH5,GPAM,CA4,KLHL29,GPIHBP1,LOC728264,MAMDC2,TMEM132C,ITIH5,HSPB7,HSPB6,DMD,SPRY2,IGFBP6,CXCL2,EBF1,KLB,CLEC3B,TMEM220,IBSP,HIF3A,IGSF10,CIDEC,C2orf40,LEPR,ANGPTL1,class
998.366,1391.3399,454.2484,696.0784,2146.6503,1217.7288,142.9739,288.3987,104.5752,101.3072,673.6111,188.7255,38.3987,254.4935,42.4837,175.6536,154.0033,308.0065,571.0784,546.1601,111.1111,771.2418,46.9771,2003.6765,50.3636,1037.5817,35.1307,533.9052,324.7549,1511.4379,1284.5466,287.9902,2957.1078,107.0261,1236.5196,2611.1111,1498.7745,972.2222,387.6634,588.2353,58.415,893.7908,219.3627,0,101.7157,1993.0556,146.6136,857.0261,755.7394,518.3824,N
59.8661,29.5115,648.8305,227.6598,3271.556,1548.5084,267.2895,557.345,378.1683,172.8528,464.5947,541.3245,192.6677,28.2467,269.8191,268.5543,696.4704,181.2847,349.0784,517.2937,322.5181,57.3365,279.0941,2381.9963,199.8347,1721.3612,131.9584,1173.7129,330.9499,2848.699,982.622,122.2618,2295.9915,306.4976,1244.962,2645.4915,1277.4246,670.7533,250.8474,311.1351,121.8402,424.5434,243.6803,0,109.614,123.1049,1225.1471,1854.1628,407.7767,50.1695,N
449.329,379.5836,504.7025,1051.6749,623.4809,2583.9586,141.6041,653.0699,571.9117,319.1377,627.7079,678.4318,908.38,195.2869,484.413,248.9697,982.3523,286.1672,236.7114,870.7598,396.9143,606.573,318.715,2058.5438,194.4584,3784.8462,142.0268,745.2182,155.5532,1512.4168,1165.3514,444.2566,1933.8476,97.2208,2431.787,2294.4098,1639.2265,658.1422,438.3388,708.4434,177.5336,453.556,212.1949,2.1135,199.9366,1034.3443,1282.8913,1168.7625,1083.4873,323.7874,N
268.6986,74.0149,1003.5859,259.9291,1891.7646,3083.3694,271.8557,699.8091,726.8193,283.0807,546.8684,2656.4683,367.9698,149.4329,626.145,313.9494,395.6815,270.1018,246.2486,874.1475,423.3933,356.394,338.1534,2482.4807,465.7151,4379.8578,193.6314,658.4169,339.5565,2536.501,913.3614,276.7666,2349.5345,813.1115,2009.978,2166.0757,1496.0831,573.8785,338.8549,555.2871,260.6307,599.1348,333.2424,0,118.5641,237.1283,1894.9216,902.21,682.2946,191.8775,N
94.3363,176.2283,364.9009,421.9041,2182.5809,873.5141,172.6154,328.3706,24.4873,66.6376,505.0003,9.6343,25.2902,153.3989,29.7059,166.9953,220.7871,193.0884,309.5034,307.4962,182.6512,203.1241,59.8132,1837.3502,43.8082,478.9073,44.9603,426.3198,256.5145,3505.2964,845.3457,35.3259,1358.0414,55.7989,344.0265,1993.9083,1117.1828,519.4518,419.4955,269.7617,14.4515,554.7778,224.4,0,63.4261,301.4748,8.4702,1159.7345,707.0045,130.8665,N
1144.0652,551.2426,1019.0191,1019.0191,1853.0677,1613.9819,299.9273,1292.9588,661.9191,265.9906,638.3774,4076.0764,425.8907,206.9835,599.2431,334.1698,409.0752,181.3016,568.6695,989.9741,167.2378,606.5808,290.7552,2572.4652,333.4788,5373.927,228.0793,620.6447,395.0113,2607.6249,919.1534,326.5264,3837.9078,630.4283,2428.1577,2900.5203,1123.5809,756.0859,487.3437,912.0114,336.6157,1023.2994,221.3531,0.9172,221.0473,897.6418,1451.636,625.2307,795.9783,504.7706,N
145.2804,466.0181,323.7554,1132.9283,712.1756,1621.7946,131.4852,635.8711,296.5961,45.6965,422.4771,529.3896,165.1109,208.6519,116.3967,183.6482,181.0616,130.623,324.1865,460.4138,187.097,503.0926,100.8772,1507.9845,80.9388,900.997,32.7635,341.4305,224.6026,1005.323,459.5214,179.3372,2605.9938,127.1742,834.6078,1730.8627,818.6571,517.75,1857.1747,613.8851,71.1313,1216.5615,192.7013,0.4311,78.0289,719.9354,333.2396,192.2702,808.7504,387.9891,N
739.778,2120.408,2792.3098,2037.729,1582.4533,3093.781,908.7463,2890.1525,2738.5143,408.7011,2244.2459,21847.4592,1280.982,396.7867,2896.2903,885.6395,819.2075,474.05,765.412,3077.173,455.9978,1319.9747,963.2638,3031.3205,2390.2771,13415.2902,779.4927,368.9864,778.0486,1316.7253,722.4262,897.915,13561.1517,5049.1922,9568.0116,1885.0077,1125.0113,1270.1507,632.9091,2301.2907,1469.0857,4119.5054,252.3693,0,255.6187,1252.4596,6725.5167,400.0361,2100.6661,357.0719,N
443.2064,216.6512,606.0043,924.4816,1748.3751,1350.3559,315.6917,776.5398,284.7416,108.3256,766.6357,229.6503,357.165,295.8836,162.1789,246.3634,3057.2578,334.2618,421.8508,549.056,234.6023,364.2835,173.321,2963.7883,85.4782,1432.9929,73.9709,730.1145,388.4246,3128.1337,893.8564,257.1959,1669.1427,140.8233,1044.2587,3571.6496,1246.3634,827.2981,259.3624,630.1455,107.7066,424.9458,274.2185,0,129.9907,1055.0913,580.0062,1776.8493,1184.8839,200.5571,N
784.0679,570.9664,310.1496,1389.8099,1544.6826,1300.4448,188.4351,426.6074,283.057,165.3862,585.928,46.9066,304.8928,402.3453,269.3085,270.926,496.1585,475.5358,269.7129,429.4379,153.6595,765.8714,219.5714,2558.8354,131.4193,1102.7093,59.8463,572.9883,186.8176,3090.1739,966.3041,181.5609,1985.8471,58.2289,1338.4553,2628.3866,1433.4816,497.776,392.6405,788.516,77.2341,419.7331,300.8492,0,199.353,1522.8467,739.9919,1244.6421,621.6903,226.85,N
389.4189,3095.8369,4469.2108,4696.4441,360.7979,6294.8829,1612.7493,5170.425,8972.2463,642.2376,3379.8786,30669.9913,3782.7407,371.2056,5938.4215,1703.8161,7269.2975,813.9636,977.4501,6701.2142,1153.5126,2160.0173,3003.0356,2761.9254,4722.4371,21571.5525,979.1847,455.7676,2028.1873,557.242,1187.32,3498.2654,30476.5828,12428.0139,20163.4866,3129.6618,1374.6748,2574.1544,422.3764,4174.3278,5172.5932,7239.3755,254.987,0,473.9809,796.6175,20771.0321,238.0746,2275.013,875.5421,N
284.7939,744.6932,532.2541,1121.9955,1663.5005,1825.0599,166.1849,545.8,376.3112,109.0278,736.1031,749.649,383.5797,374.6593,253.7375,189.6424,790.9474,295.0359,424.2174,580.4906,176.7572,1105.8066,183.365,3034.6081,130.7211,1884.5296,32.378,393.8218,276.8646,2312.3813,1020.1834,308.2514,2423.3914,127.5295,1375.0723,3144.2967,1327.1661,529.611,815.3961,834.8889,116.2964,849.7563,297.0183,0.3304,151.6478,1022.5489,680.9284,598.9923,1053.1725,296.3575,N
813.1822,427.7918,1756.927,575.1469,3737.6154,1934.5088,437.4475,1870.6969,2216.2049,861.461,1422.754,5796.3896,605.7935,157.8505,2955.9194,858.9421,668.7657,729.639,171.2846,2336.6919,504.618,362.3006,1405.1217,1607.4727,962.2166,9876.9941,841.7296,943.3249,1143.5768,5795.55,694.1478,851.3854,6134.7607,1627.6238,9186.8178,1158.6902,1399.6641,2094.8783,87.7414,1171.7045,441.2259,3181.78,345.0882,0,199.4123,640.2183,5427.372,1147.775,501.738,358.9421,N
214.2389,197.6244,258.5441,1216.0606,1217.8095,1412.2276,71.7044,355.3159,33.2289,32.3544,227.9385,127.0859,49.2604,153.9022,141.3685,102.31,3101.0712,121.8392,174.5974,224.7322,128.8348,344.2396,53.9241,1856.4454,50.7178,588.2096,249.7996,380.3833,108.7226,869.1977,904.5457,170.5167,1126.2843,34.6863,269.9118,1373.7521,1102.6743,744.7351,419.1503,306.6385,25.9418,774.1747,111.6374,0,16.9059,343.9481,62.377,537.4918,636.3098,147.4896,N
506.9313,1277.8828,1409.2628,1546.3138,1392.8796,2408.3176,425.0158,2180.5293,1241.966,190.9263,1735.9798,4494.3289,725.5829,610.586,883.1128,488.6578,632.9553,315.69,529.3006,1385.3182,387.8387,999.3699,385.3182,2412.0983,558.7209,7435.7278,195.9672,518.2735,507.5614,1872.0857,741.9061,469.1241,4986.1374,1312.2243,3827.6623,2800.8822,997.7946,1807.4984,686.2004,1390.3592,431.9471,2125.3938,289.54,0,168.557,1092.9427,2260.5545,755.8286,2547.051,517.3283,N
750.9549,516.8067,759.7403,1027.5019,872.0397,1973.644,210.084,610.3896,558.0596,76.7762,737.204,1756.3025,234.1482,453.3995,341.1001,307.1047,240.2597,359.4347,299.8472,538.961,220.7792,698.6249,183.728,2580.2139,218.518,3113.0634,130.2521,1002.2918,281.5126,4331.5508,971.2185,193.6593,2676.4706,424.7517,1572.5745,3326.2032,2216.1956,972.4981,702.4446,816.6539,197.861,811.6883,367.4561,0,166.9213,878.1513,985.1031,1184.11,1036.8411,124.1406,N
157.4082,640.1493,220.5072,1054.7027,1719.2774,1946.9087,240.5224,296.8366,373.8445,84.132,540.4122,2265.1175,159.4436,104.8257,378.2546,173.6918,301.2467,229.3275,331.4392,489.5259,323.6367,254.0921,181.4944,1709.7786,223.2957,1740.9889,66.1521,1059.7914,246.2895,1963.5315,1074.3889,180.8159,2039.1824,332.7962,1241.625,2257.9934,1639.2164,1271.8175,186.583,354.5077,154.0158,871.8514,167.5854,1.357,101.7725,854.8893,748.7066,900.687,1330.0857,232.0414,N
674.8386,401.8278,478.1316,831.5079,385.2905,1497.3526,184.5217,600.2756,77.4643,42.0686,587.51,266.0477,39.4575,138.1011,73.1124,169.435,355.1171,291.8692,163.6324,476.9711,183.071,420.1059,55.4145,1692.609,47.935,1076.3763,87.0385,507.7247,337.4193,917.6761,774.7356,98.6436,1301.2258,91.9707,707.0429,1641.2563,1025.3137,810.6187,247.4795,570.6825,42.6489,569.522,193.8058,0.2901,114.6007,1390.5853,158.4652,788.8591,796.3299,444.1866,N
338.4447,572.4717,529.7554,578.6783,952.9025,3406.7178,202.9938,423.1471,418.0358,127.0537,709.7481,828.7696,463.3078,246.2322,250.0913,190.5805,1272.3622,213.5816,486.3089,733.8445,317.9993,549.8357,170.5002,2764.8777,194.7609,2941.9496,189.8503,756.1154,327.1267,1826.2139,910.4965,321.6502,2599.854,505.659,1704.2716,2322.0153,1123.4027,906.9003,468.7842,744.7974,258.1234,1310.6973,197.8824,0,180.7229,472.0701,989.7773,814.8959,828.8938,341.7306,N
103.4483,291.4456,612.7321,629.9735,1508.2891,3789.7878,229.7745,675.7294,153.8462,70.2918,615.0531,325.9284,133.2891,162.1353,123.6737,160.809,2290.7825,231.1008,380.9682,498.0106,383.9523,505.305,110.7427,2516.5782,70.252,601.7905,182.0292,611.7374,249.6684,3210.2122,1011.5053,157.1618,1774.8674,183.3554,859.0849,3066.9761,1308.3554,888.9257,376.3263,444.6286,66.6446,658.1565,226.4589,0,62.0027,518.8992,298.7401,1118.3687,2041.2235,225.1326,N
437.9433,90.8688,275.266,566.4894,986.7021,580.2305,88.6525,289.0071,100.1773,117.0213,411.3475,100.1773,55.8511,60.297,114.3617,231.383,202.5709,253.1028,157.3582,714.539,119.2376,127.6596,158.6879,941.4894,155.1507,1147.1631,72.695,270.3901,317.3759,1460.5496,749.9291,175.0887,1709.6631,62.9433,1081.5603,901.5957,1118.7943,1018.617,308.0674,234.4858,54.9645,483.156,183.9539,0,27.039,171.9858,470.7447,1126.3298,247.6152,90.8688,N
